<http://codes.wmo.int/def/bufr4/fxy>,@id,@notation,@status,rdf:type,rdfs:label,skos:notation,skos:note
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/166>,166,stable,skos:Concept,"'Rain, freezing, heavy'@en",166,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/167>,167,stable,skos:Concept,"'Rain (or drizzle) and snow, slight'@en",167,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/168>,168,stable,skos:Concept,"'Rain (or drizzle) and snow, moderate or heavy'@en",168,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/170>,170,stable,skos:Concept,'SNOW'@en,170,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/171>,171,stable,skos:Concept,"'Snow, slight'@en",171,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/172>,172,stable,skos:Concept,"'Snow, moderate'@en",172,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/173>,173,stable,skos:Concept,"'Snow, heavy'@en",173,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/174>,174,stable,skos:Concept,"'Ice pellets, slight'@en",174,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/175>,175,stable,skos:Concept,"'Ice pellets, moderate'@en",175,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/176>,176,stable,skos:Concept,"'Ice pellets, heavy'@en",176,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/177>,177,stable,skos:Concept,'Snow grains'@en,177,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/178>,178,stable,skos:Concept,'Ice crystals'@en,178,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/180>,180,stable,skos:Concept,'SHOWER(S) OR INTERMITTENT PRECIPITATION'@en,180,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/181>,181,stable,skos:Concept,"'Rain shower(s) or intermittent rain, slight'@en",181,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/182>,182,stable,skos:Concept,"'Rain shower(s) or intermittent rain, moderate'@en",182,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/183>,183,stable,skos:Concept,"'Rain shower(s) or intermittent rain, heavy'@en",183,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/184>,184,stable,skos:Concept,"'Rain shower(s) or intermittent rain, violent'@en",184,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/185>,185,stable,skos:Concept,"'Snow shower(s) or intermittent snow, slight'@en",185,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/186>,186,stable,skos:Concept,"'Snow shower(s) or intermittent snow, moderate'@en",186,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/187>,187,stable,skos:Concept,"'Snow shower(s) or intermittent snow, heavy'@en",187,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/189>,189,stable,skos:Concept,'Hail'@en,189,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/190>,190,stable,skos:Concept,'THUNDERSTORM'@en,190,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/191>,191,stable,skos:Concept,"'Thunderstorm, slight or moderate, with no precipitation'@en",191,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/192>,192,stable,skos:Concept,"'Thunderstorm, slight or moderate, with rain showers and/or snow showers'@en",192,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/193>,193,stable,skos:Concept,"'Thunderstorm, slight or moderate, with hail'@en",193,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/194>,194,stable,skos:Concept,"'Thunderstorm, heavy, with no precipitation'@en",194,""
